Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
Q.yeast+I+R4     -27205.223   54630.446 - 1.09e-310   54720.557 - 2.33e-300   55064.442 - 4.78e-293
Q.yeast+I+R6     -27193.486   54614.973 - 2.49e-307   54713.175 - 9.35e-299   55064.751 - 4.1e-293
Dayhoff+I+R4     -27206.340   54632.681 - 3.55e-311   54722.791 - 7.63e-301   55066.677 - 1.56e-293
Q.yeast+R6       -27197.777   54621.555 - 9.25e-309   54717.689 - 9.78e-300   55067.387 - 1.1e-293
Dayhoff+I+R6     -27197.329   54622.658 - 5.33e-309   54720.860 -   2e-300   55072.436 - 8.78e-295
Dayhoff+R6       -27200.526   54627.052 - 5.92e-310   54723.186 - 6.26e-301   55072.885 - 7.02e-295
LG+I+R2          -27236.535   54685.069 - 1.48e-322   54767.556 - 1.45e-310   55103.284 - 1.76e-301
cpREV+R5         -27240.145   54702.290 -        0   54794.379 - 2.18e-316   55140.232 - 1.67e-309
cpREV+I+R5       -27238.346   54700.693 -        0   54794.789 - 1.77e-316   55142.580 - 5.15e-310
cpREV+I+R6       -27234.932   54697.863 -        0   54796.065 - 9.36e-317   55147.641 - 4.1e-311
cpREV+R6         -27238.198   54702.397 -        0   54798.531 - 2.73e-317   55148.230 - 3.06e-311
cpREV+I+R4       -27250.190   54720.380 -        0   54810.490 - 6.9e-320   55154.376 - 1.41e-312
Q.mammal+R5      -27253.791   54729.582 -        0   54821.671 - 2.57e-322   55167.524 - 1.97e-315
Q.mammal+I+R5    -27251.308   54726.617 -        0   54820.713 - 4.15e-322   55168.504 - 1.21e-315
Q.mammal+R6      -27251.823   54729.647 -        0   54825.781 - 3.46e-323   55175.479 - 3.7e-317
Q.mammal+I+R6    -27248.992   54725.983 -        0   54824.185 - 7.41e-323   55175.761 - 3.21e-317
Q.mammal+I+R4    -27261.283   54742.566 -        0   54832.677 -        0   55176.562 - 2.15e-317
mtInv+F+R5       -27205.733   54671.466 - 1.34e-319   54807.163 - 3.64e-319   55184.371 - 4.34e-319
LG+R2            -27282.199   54774.398 -        0   54855.050 -        0   55188.667 - 5.06e-320
mtInv+F+I+R5     -27205.660   54673.320 - 5.32e-320   54811.656 - 3.85e-320   55190.170 - 2.39e-320
mtInv+F+I+R4     -27212.322   54682.644 - 5.04e-322   54815.739 -   5e-321   55191.603 - 1.17e-320
mtInv+F+I+R6     -27202.844   54671.688 - 1.2e-319   54815.414 - 5.88e-321   55196.429 - 1.04e-321
mtInv+F+R6       -27206.698   54677.397 - 6.93e-321   54818.409 - 1.32e-321   55198.192 - 4.35e-322
Q.mammal+F+R5    -27224.277   54708.555 -        0   54844.252 -        0   55221.459 -        0
Q.mammal+F+I+R4  -27228.240   54714.480 -        0   54847.575 -        0   55223.439 -        0
Q.mammal+F+I+R5  -27222.508   54707.015 -        0   54845.351 -        0   55223.865 -        0
Q.mammal+F+R6    -27226.383   54716.766 -        0   54857.778 -        0   55237.561 -        0
Q.plant+F+R5     -27239.042   54738.083 -        0   54873.780 -        0   55250.988 -        0
Q.plant+F+I+R5   -27236.672   54735.343 -        0   54873.679 -        0   55252.193 -        0
Q.plant+F+I+R4   -27245.757   54749.513 -        0   54882.609 -        0   55258.473 -        0
Q.plant+F+I+R6   -27234.763   54735.526 -        0   54879.252 -        0   55260.267 -        0
Q.plant+F+R6     -27241.554   54747.109 -        0   54888.121 -        0   55267.904 -        0
FLU+F+R5         -27317.212   54894.425 -        0   55030.122 -        0   55407.330 -        0
FLU+F+I+R5       -27316.183   54894.365 -        0   55032.701 -        0   55411.215 -        0
FLU+F+I+R4       -27324.345   54906.690 -        0   55039.785 -        0   55415.649 -        0
FLU+F+I+R6       -27314.490   54894.979 -        0   55038.705 -        0   55419.720 -        0
FLU+F+R6         -27318.446   54900.893 -        0   55041.905 -        0   55421.688 -        0
Q.plant+R5       -27384.413   54990.826 -        0   55082.915 -        0   55428.768 -        0
Q.plant+I+R5     -27381.618   54987.235 -        0   55081.332 -        0   55429.122 -        0
Q.plant+I+R6     -27378.517   54985.035 -        0   55083.237 -        0   55434.812 -        0
Q.plant+R6       -27382.926   54991.852 -        0   55087.986 -        0   55437.684 -        0
Q.plant+I+R4     -27394.440   55008.880 -        0   55098.991 -        0   55442.876 -        0
mtMet+F+R5       -27406.528   55073.055 -        0   55208.753 -        0   55585.960 -        0
mtMet+F+I+R5     -27406.908   55075.816 -        0   55214.152 -        0   55592.666 -        0
mtMet+F+I+R4     -27413.891   55085.782 -        0   55218.877 -        0   55594.741 -        0
mtMet+F+I+R6     -27403.953   55073.907 -        0   55217.633 -        0   55598.648 -        0
mtMet+F+R6       -27407.305   55078.609 -        0   55219.621 -        0   55599.405 -        0
mtREV+F+I+R5     -27434.112   55130.224 -        0   55268.560 -        0   55647.074 -        0
mtREV+F+R5       -27438.924   55137.848 -        0   55273.545 -        0   55650.752 -        0
mtREV+F+I+R6     -27430.839   55127.678 -        0   55271.404 -        0   55652.419 -        0
mtREV+F+R6       -27436.718   55137.435 -        0   55278.447 -        0   55658.231 -        0
mtREV+F+I+R4     -27447.409   55152.818 -        0   55285.914 -        0   55661.778 -        0
mtZOA+F+R5       -27448.303   55156.605 -        0   55292.303 -        0   55669.510 -        0
mtZOA+F+I+R6     -27439.830   55145.660 -        0   55289.386 -        0   55670.401 -        0
mtZOA+F+R6       -27443.837   55151.674 -        0   55292.686 -        0   55672.470 -        0
mtZOA+F+I+R5     -27449.640   55161.281 -        0   55299.617 -        0   55678.131 -        0
mtZOA+F+I+R4     -27461.083   55180.166 -        0   55313.261 -        0   55689.125 -        0
Q.bird+R5        -27534.450   55290.900 -        0   55382.989 -        0   55728.842 -        0
Q.bird+I+R5      -27532.440   55288.881 -        0   55382.977 -        0   55730.768 -        0
Q.bird+R6        -27531.884   55289.768 -        0   55385.902 -        0   55735.601 -        0
Q.bird+I+R6      -27529.539   55287.077 -        0   55385.279 -        0   55736.855 -        0
Q.bird+I+R4      -27544.012   55308.024 -        0   55398.135 -        0   55742.020 -        0
Q.bird+F+R5      -27491.274   55242.548 -        0   55378.246 -        0   55755.453 -        0
Q.bird+F+I+R4    -27495.622   55249.244 -        0   55382.339 -        0   55758.203 -        0
